Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,LHip_x,LHip_y,LKnee_x,LKnee_y,MidHip_x_T-1,MidHip_x_T-3,MidHip_x_T-5,MidHip_x_T-7,MidHip_x_T-9,MidHip_y_T-1,MidHip_y_T-3,MidHip_y_T-5,MidHip_y_T-7,MidHip_y_T-9,RHip_x_T-1,RHip_x_T-3,RHip_x_T-5,RHip_x_T-7,RHip_x_T-9,RHip_y_T-1,RHip_y_T-3,RHip_y_T-5,RHip_y_T-7,RHip_y_T-9,RKnee_x_T-1,RKnee_x_T-3,RKnee_x_T-5,RKnee_x_T-7,RKnee_x_T-9,RKnee_y_T-1,RKnee_y_T-3,RKnee_y_T-5,RKnee_y_T-7,RKnee_y_T-9,LHip_x_T-1,LHip_x_T-3,LHip_x_T-5,LHip_x_T-7,LHip_x_T-9,LHip_y_T-1,LHip_y_T-3,LHip_y_T-5,LHip_y_T-7,LHip_y_T-9,LKnee_x_T-1,LKnee_x_T-3,LKnee_x_T-5,LKnee_x_T-7,LKnee_x_T-9,LKnee_y_T-1,LKnee_y_T-3,LKnee_y_T-5,LKnee_y_T-7,LKnee_y_T-9
DarPaso,Caminar,Pausa,Neutral,0.0,860.775,195.736,831.416,198.68599999999998,857.8330000000001,298.53,888.6460000000001,192.78900000000002,873.9830000000001,291.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,863.7080000000001,200.139,835.799,204.54,863.725,307.308,893.065,195.765,876.9,291.172,860.775,,,,,195.736,,,,,831.416,,,,,198.68599999999998,,,,,857.8330000000001,,,,,298.53,,,,,888.6460000000001,,,,,192.78900000000002,,,,,873.9830000000001,,,,,291.181,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,866.62,204.562,837.294,211.88,871.023,314.64599999999996,897.452,201.60299999999998,878.375,288.244,863.7080000000001,,,,,200.139,,,,,835.799,,,,,204.54,,,,,863.725,,,,,307.308,,,,,893.065,,,,,195.765,,,,,876.9,,,,,291.172,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,871.0360000000001,208.97,840.2080000000001,214.84400000000002,875.431,316.106,898.9680000000001,204.558,884.27,280.906,866.62,860.775,,,,204.562,195.736,,,,837.294,831.416,,,,211.88,198.68599999999998,,,,871.023,857.8330000000001,,,,314.64599999999996,298.53,,,,897.452,888.6460000000001,,,,201.60299999999998,192.78900000000002,,,,878.375,873.9830000000001,,,,288.244,291.181,,,
DarPaso,Caminar,Pausa,Neutral,0.0,876.8969999999999,216.3,847.554,222.18400000000003,878.3889999999999,320.505,904.7919999999999,211.88299999999998,893.069,279.411,871.0360000000001,863.7080000000001,,,,208.97,200.139,,,,840.2080000000001,835.799,,,,214.84400000000002,204.54,,,,875.431,863.725,,,,316.106,307.308,,,,898.9680000000001,893.065,,,,204.558,195.765,,,,884.27,876.9,,,,280.906,291.172,,,
DarPaso,Caminar,Pausa,Neutral,0.0,881.2869999999999,220.71099999999998,850.515,228.033,878.388,327.87800000000004,909.206,214.83,900.421,285.301,876.8969999999999,866.62,860.775,,,216.3,204.562,195.736,,,847.554,837.294,831.416,,,222.18400000000003,211.88,198.68599999999998,,,878.3889999999999,871.023,857.8330000000001,,,320.505,314.64599999999996,298.53,,,904.7919999999999,897.452,888.6460000000001,,,211.88299999999998,201.60299999999998,192.78900000000002,,,893.069,878.375,873.9830000000001,,,279.411,288.244,291.181,,
DarPaso,Caminar,Pausa,Neutral,0.0,882.7539999999999,226.584,851.947,232.445,881.315,333.75,910.679,219.24400000000003,912.1439999999999,298.499,881.2869999999999,871.0360000000001,863.7080000000001,,,220.71099999999998,208.97,200.139,,,850.515,840.2080000000001,835.799,,,228.033,214.84400000000002,204.54,,,878.388,875.431,863.725,,,327.87800000000004,316.106,307.308,,,909.206,898.9680000000001,893.065,,,214.83,204.558,195.765,,,900.421,884.27,876.9,,,285.301,280.906,291.172,,
DarPaso,Caminar,Pausa,Neutral,0.0,884.248,229.54,853.4169999999999,238.32,881.3380000000001,338.135,913.612,225.12099999999998,923.8710000000001,310.28700000000003,882.7539999999999,876.8969999999999,866.62,860.775,,226.584,216.3,204.562,195.736,,851.947,847.554,837.294,831.416,,232.445,222.18400000000003,211.88,198.68599999999998,,881.315,878.3889999999999,871.023,857.8330000000001,,333.75,320.505,314.64599999999996,298.53,,910.679,904.7919999999999,897.452,888.6460000000001,,219.24400000000003,211.88299999999998,201.60299999999998,192.78900000000002,,912.1439999999999,893.069,878.375,873.9830000000001,,298.499,279.411,288.244,291.181,
DarPaso,Caminar,Pausa,Neutral,0.0,885.7139999999999,235.388,853.442,242.727,879.8660000000001,339.606,918.02,229.502,932.683,320.53700000000003,884.248,881.2869999999999,871.0360000000001,863.7080000000001,,229.54,220.71099999999998,208.97,200.139,,853.4169999999999,850.515,840.2080000000001,835.799,,238.32,228.033,214.84400000000002,204.54,,881.3380000000001,878.388,875.431,863.725,,338.135,327.87800000000004,316.106,307.308,,913.612,909.206,898.9680000000001,893.065,,225.12099999999998,214.83,204.558,195.765,,923.8710000000001,900.421,884.27,876.9,,310.28700000000003,285.301,280.906,291.172,
DarPaso,Caminar,Pausa,Neutral,0.0,887.196,241.255,856.3610000000001,247.146,882.755,342.545,920.952,233.918,941.497,332.24699999999996,885.7139999999999,882.7539999999999,876.8969999999999,866.62,860.775,235.388,226.584,216.3,204.562,195.736,853.442,851.947,847.554,837.294,831.416,242.727,232.445,222.18400000000003,211.88,198.68599999999998,879.8660000000001,881.315,878.3889999999999,871.023,857.8330000000001,339.606,333.75,320.505,314.64599999999996,298.53,918.02,910.679,904.7919999999999,897.452,888.6460000000001,229.502,219.24400000000003,211.88299999999998,201.60299999999998,192.78900000000002,932.683,912.1439999999999,893.069,878.375,873.9830000000001,320.53700000000003,298.499,279.411,288.244,291.181
